"Mcbsno","TransactionId","TrNo","Family","Model","WC","Start","Log","Fis","FisRewk","LogStatus","DimmNo","ErrSteps","LogStarttime","LogEndtime","OpId","Fixture","ResExpT"
VF64RTA8Q1,VF64RTA8Q1_20_2026-05-04 15:13:11.137432,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:12:59.987,2026-05-04 15:33:49.700,2501446,020EWR36,1238
VF64RTA8SP,VF64RTA8SP_20_2026-05-04 15:12:59.062133,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:12:47.945,2026-05-04 15:32:04.255,2501446,020EWR11,1145
VF64RTA92H,VF64RTA92H_20_2026-05-04 15:12:42.307825,1,HOPPER,1395H3289357,20,Start,Log,255,1,FAILED,,85.Connect To Linux Host (Could Not connect to linux host) ,2026-05-04 15:12:37.142,2026-05-04 15:51:11.385,2501446,020EWR28,2309
VC64RT6344,VC64RT6344_20_2026-05-04 15:12:38.084499,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:12:26.799,2026-05-04 15:32:39.706,2501446,020EWR34,1201
VC64RT6396,VC64RT6396_20_2026-05-04 15:12:03.966303,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:11:56.842,2026-05-04 15:30:52.358,2501446,020EWR14,1128
VF64RTA8SC,VF64RTA8SC_20_2026-05-04 15:11:40.495215,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:11:29.314,2026-05-04 15:30:31.686,2501446,020EWR10,1131
VC64RT6339,VC64RT6339_20_2026-05-04 15:11:29.506651,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:11:24.365,2026-05-04 15:29:52.414,2501446,020EWR05,1102
VC64RT6415,VC64RT6415_20_2026-05-04 15:10:05.890850,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:09:59.732,2026-05-04 15:28:51.370,2501446,020EWR13,1125
VF64RTA8OJ,VF64RTA8OJ_20_2026-05-04 15:08:28.591991,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:08:12.419,2026-05-04 15:27:08.331,2501446,020EWR09,1119
VF64RTA8QF,VF64RTA8QF_20_2026-05-04 15:08:22.122749,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:08:15.986,2026-05-04 15:28:14.290,2501446,020EWR32,1192
VF64RTA8OH,VF64RTA8OH_20_2026-05-04 15:06:27.569801,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:06:22.433,2026-05-04 15:26:31.314,2501446,020EWR42,1203
VC64RT6416,VC64RT6416_20_2026-05-04 15:06:12.443400,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:06:06.260,2026-05-04 15:25:56.183,2501446,020EWR39,1183
VF64RTA8P9,VF64RTA8P9_20_2026-05-04 15:05:43.993285,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:05:28.755,2026-05-04 15:24:56.328,2501446,020EWR18,1152
VC64RT6347,VC64RT6347_20_2026-05-04 15:04:23.589325,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:04:17.386,2026-05-04 15:22:52.839,2501446,020EWR17,1109
VC64RT6518,VC64RT6518_20_2026-05-04 15:04:21.602707,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:04:07.341,2026-05-04 15:22:38.879,2501446,020EWR33,1097
VF64RTA8PY,VF64RTA8PY_20_2026-05-04 15:04:01.599219,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:03:54.365,2026-05-04 15:22:27.586,2501446,020EWR03,1106
VF64RTA8P4,VF64RTA8P4_20_2026-05-04 15:03:22.399833,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:02:47.247,2026-05-04 15:23:34.284,2501446,020EWR38,1211
VF64RTA8TA,VF64RTA8TA_20_2026-05-04 15:03:19.525387,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:03:11.404,2026-05-04 15:23:31.862,2501446,020EWR29,1212
VF64RTA8QI,VF64RTA8QI_20_2026-05-04 15:03:07.969660,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:03:01.839,2026-05-04 15:24:30.392,2501446,020EWR44,1282
VF64RTA6V6,VF64RTA6V6_20_2026-05-04 15:01:50.738954,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:01:36.519,2026-05-04 15:20:30.789,2501446,020EWR07,1120
VC64RT6432,VC64RT6432_20_2026-05-04 15:01:03.029123,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:00:49.801,2026-05-04 15:20:02.189,2501446,020EWR15,1139
VC64RT6434,VC64RT6434_20_2026-05-04 15:00:51.510180,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 15:00:38.373,2026-05-04 15:19:22.704,2501446,020EWR19,1111
VC64RT6359,VC64RT6359_20_2026-05-04 14:59:51.153861,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:59:41.969,2026-05-04 15:19:14.084,2501446,020EWR46,1163
VC64RT6414,VC64RT6414_20_2026-05-04 14:59:35.214374,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:59:29.085,2026-05-04 15:18:28.128,2501446,020EWR16,1132
VF64RTA8TD,VF64RTA8TD_20_2026-05-04 14:59:24.010721,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:59:10.817,2026-05-04 15:32:35.704,2501446,020EWR23,1991
VF64RTA8PP,VF64RTA8PP_20_2026-05-04 14:56:56.771727,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:56:42.638,2026-05-04 15:31:27.040,2501446,020EWR48,2070
VC64RT6439,VC64RT6439_20_2026-05-04 14:56:42.365015,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:56:32.237,2026-05-04 15:33:26.985,2501446,020EWR25,2204
VC64RT6345,VC64RT6345_20_2026-05-04 14:56:29.783871,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:56:22.647,2026-05-04 15:16:34.030,2501446,020EWR40,1204
VC64RT6411,VC64RT6411_20_2026-05-04 14:56:28.042749,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:56:20.934,2026-05-04 15:15:02.522,2501446,020EWR20,1114
VF64RTA8QU,VF64RTA8QU_20_2026-05-04 14:55:36.481984,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:55:26.352,2026-05-04 15:15:37.722,2501446,020EWR31,1201
VF64RTA8P0,VF64RTA8P0_20_2026-05-04 14:55:19.390249,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:55:05.238,2026-05-04 15:14:21.298,2501446,020EWR21,1141
VC64RT5181,VC64RT5181_20_2026-05-04 14:55:11.100138,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:55:04.826,2026-05-04 15:14:00.905,2501446,020EWR12,1129
VC64RT6703,VC64RT6703_20_2026-05-04 14:54:21.854059,1,HOPPER,1395H3289356,20,Start,Log,1,2,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:54:13.767,2026-05-04 15:13:04.101,2501446,020EWR04,1122
VF64RTA8M0,VF64RTA8M0_20_2026-05-04 14:53:51.214306,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:53:45.101,2026-05-04 15:14:06.515,2501446,020EWR27,1215
VF64RTA93B,VF64RTA93B_20_2026-05-04 14:53:47.298544,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:53:30.160,2026-05-04 15:14:06.655,2501446,020EWR35,1219
VC64RT6364,VC64RT6364_20_2026-05-04 14:52:38.545014,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:52:32.415,2026-05-04 15:11:15.527,2501446,020EWR14,1117
VF64RTA9OQ,VF64RTA9OQ_20_2026-05-04 14:52:32.062074,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:52:20.947,2026-05-04 15:11:02.873,2501446,020EWR06,1110
VC64RT6362,VC64RT6362_20_2026-05-04 14:51:59.429543,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:51:30.284,2026-05-04 15:10:52.659,2501446,020EWR11,1133
VC64RT6413,VC64RT6413_20_2026-05-04 14:51:33.821674,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:51:23.726,2026-05-04 15:10:25.886,2501446,020EWR10,1132
VC64RT6367,VC64RT6367_20_2026-05-04 14:51:32.338550,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:51:14.084,2026-05-04 15:12:04.263,2501446,020EWR36,1231
VF64RTA8PK,VF64RTA8PK_20_2026-05-04 14:50:56.812786,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:50:42.615,2026-05-04 15:10:57.230,2501446,020EWR37,1200
VC64RT6353,VC64RT6353_20_2026-05-04 14:50:11.756010,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:50:01.560,2026-05-04 15:08:44.955,2501446,020EWR13,1113
VC64RT6360,VC64RT6360_20_2026-05-04 14:50:06.442884,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:49:58.312,2026-05-04 15:11:03.108,2501446,020EWR34,1256
VC64RT6383,VC64RT6383_20_2026-05-04 14:48:24.524038,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:48:07.412,2026-05-04 18:32:15.823,2501446,020EWR47,13431
VC64RT6349,VC64RT6349_20_2026-05-04 14:47:37.946384,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:47:27.721,2026-05-04 15:06:25.299,2501446,020EWR09,1127
VF64RTA8LY,VF64RTA8LY_20_2026-05-04 14:46:43.395688,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:46:37.241,2026-05-04 15:06:28.213,2501446,020EWR28,1184
VF64RTA8P6,VF64RTA8P6_20_2026-05-04 14:46:21.461606,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:46:15.188,2026-05-04 15:22:52.104,2501446,020EWR30,2190
VF64RTA8P8,VF64RTA8P8_20_2026-05-04 14:46:17.319868,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:46:09.206,2026-05-04 15:06:10.241,2501446,020EWR32,1192
VC64RT6474,VC64RT6474_20_2026-05-04 14:44:50.158849,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:44:43.077,2026-05-04 15:05:03.694,2501446,020EWR43,1213
VF64RTA8TB,VF64RTA8TB_20_2026-05-04 14:44:26.198113,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:44:15.078,2026-05-04 15:02:50.434,2501446,020EWR33,1104
VC64RT6386,VC64RT6386_20_2026-05-04 14:43:07.689027,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:43:00.508,2026-05-04 15:01:49.260,2501446,020EWR03,1121
VC64RT6354,VC64RT6354_20_2026-05-04 14:42:38.363753,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:42:30.256,2026-05-04 15:02:25.280,2501446,020EWR42,1186
VC64RT6388,VC64RT6388_20_2026-05-04 14:42:38.123500,1,HOPPER,1395H3289356,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:42:29.970,2026-05-04 15:17:32.110,2501446,020EWR41,2094
VF64RTA8Q0,VF64RTA8Q0_20_2026-05-04 14:41:27.938881,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:41:18.807,2026-05-04 15:00:16.768,2501446,020EWR05,1128
VF64RTA8RG,VF64RTA8RG_20_2026-05-04 14:41:14.575786,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:41:05.470,2026-05-04 14:59:48.756,2501446,020EWR07,1114
VF64RTA8R4,VF64RTA8R4_20_2026-05-04 14:41:01.344537,1,HOPPER,1395H3289357,20,Start,Log,1,1,PASSED,BIOS=C21i_0212M50IEC,,2026-05-04 14:40:54.187,2026-05-04 14:59:32.472,2501446,020EWR19,1111
